departure_date,booking_date,cum_bookings
8/21/2012,7/18/2012,84
8/21/2012,7/19/2012,116
8/21/2012,7/20/2012,137
8/21/2012,7/21/2012,137
8/21/2012,7/22/2012,141
8/21/2012,7/23/2012,175
8/21/2012,7/24/2012,205
8/21/2012,7/25/2012,211
8/21/2012,7/26/2012,247
8/21/2012,7/27/2012,257
8/21/2012,7/28/2012,257
8/21/2012,7/29/2012,257
8/21/2012,7/30/2012,317
8/21/2012,7/31/2012,332
8/21/2012,8/1/2012,380
8/21/2012,8/2/2012,402
8/21/2012,8/3/2012,422
8/21/2012,8/4/2012,422
8/21/2012,8/5/2012,422
8/21/2012,8/6/2012,476
8/21/2012,8/7/2012,498
8/21/2012,8/8/2012,526
8/21/2012,8/9/2012,552
8/21/2012,8/10/2012,587
8/21/2012,8/11/2012,590
8/21/2012,8/12/2012,597
8/21/2012,8/13/2012,623
8/21/2012,8/14/2012,653
8/21/2012,8/15/2012,670
8/21/2012,8/16/2012,681
8/21/2012,8/17/2012,711
8/21/2012,8/18/2012,712
8/21/2012,8/19/2012,716
8/21/2012,8/20/2012,757
8/21/2012,8/21/2012,769
8/22/2012,6/23/2012,0
8/22/2012,6/24/2012,0
8/22/2012,6/25/2012,0
8/22/2012,6/26/2012,2
8/22/2012,6/27/2012,3
8/22/2012,6/28/2012,6
8/22/2012,6/29/2012,8
8/22/2012,6/30/2012,8
8/22/2012,7/1/2012,8
8/22/2012,7/2/2012,8
8/22/2012,7/3/2012,8
8/22/2012,7/4/2012,8
8/22/2012,7/5/2012,9
8/22/2012,7/6/2012,16
8/22/2012,7/7/2012,16
8/22/2012,7/8/2012,16
8/22/2012,7/9/2012,16
8/22/2012,7/10/2012,18
8/22/2012,7/11/2012,18
8/22/2012,7/12/2012,44
8/22/2012,7/13/2012,44
8/22/2012,7/14/2012,46
8/22/2012,7/15/2012,46
8/22/2012,7/16/2012,64
8/22/2012,7/17/2012,86
8/22/2012,7/18/2012,86
8/22/2012,7/19/2012,118
8/22/2012,7/20/2012,132
8/22/2012,7/21/2012,132
8/22/2012,7/22/2012,136
8/22/2012,7/23/2012,171
8/22/2012,7/24/2012,203
8/22/2012,7/25/2012,207
8/22/2012,7/26/2012,241
8/22/2012,7/27/2012,253
8/22/2012,7/28/2012,253
8/22/2012,7/29/2012,253
8/22/2012,7/30/2012,305
8/22/2012,7/31/2012,320
8/22/2012,8/1/2012,362
8/22/2012,8/2/2012,376
8/22/2012,8/3/2012,391
8/22/2012,8/4/2012,393
8/22/2012,8/5/2012,393
8/22/2012,8/6/2012,443
8/22/2012,8/7/2012,470
8/22/2012,8/8/2012,503
8/22/2012,8/9/2012,527
8/22/2012,8/10/2012,574
8/22/2012,8/11/2012,576
8/22/2012,8/12/2012,578
8/22/2012,8/13/2012,595
8/22/2012,8/14/2012,629
8/22/2012,8/15/2012,646
8/22/2012,8/16/2012,666
8/22/2012,8/17/2012,702
8/22/2012,8/18/2012,703
8/22/2012,8/19/2012,705
8/22/2012,8/20/2012,739
8/22/2012,8/21/2012,749
8/22/2012,8/22/2012,764
8/23/2012,6/24/2012,0
8/23/2012,6/25/2012,0
8/23/2012,6/26/2012,2
8/23/2012,6/27/2012,2
8/23/2012,6/28/2012,2
8/23/2012,6/29/2012,2
8/23/2012,6/30/2012,2
8/23/2012,7/1/2012,2
8/23/2012,7/2/2012,2
8/23/2012,7/3/2012,2
8/23/2012,7/4/2012,2
8/23/2012,7/5/2012,2
8/23/2012,7/6/2012,2
8/23/2012,7/7/2012,2
8/23/2012,7/8/2012,2
8/23/2012,7/9/2012,2
8/23/2012,7/10/2012,4
8/23/2012,7/11/2012,4
8/23/2012,7/12/2012,28
8/23/2012,7/13/2012,28
8/23/2012,7/14/2012,30
8/23/2012,7/15/2012,30
8/23/2012,7/16/2012,37
8/23/2012,7/17/2012,39
8/23/2012,7/18/2012,39
8/23/2012,7/19/2012,42
8/23/2012,7/20/2012,42
8/23/2012,7/21/2012,42
8/23/2012,7/22/2012,42
8/23/2012,7/23/2012,45
8/23/2012,7/24/2012,53
8/23/2012,7/25/2012,55
8/23/2012,7/26/2012,58
8/23/2012,7/27/2012,62
8/23/2012,7/28/2012,62
8/23/2012,7/29/2012,62
8/23/2012,7/30/2012,67
8/23/2012,7/31/2012,71
8/23/2012,8/1/2012,76
8/23/2012,8/2/2012,83
8/23/2012,8/3/2012,89
8/23/2012,8/4/2012,91
8/23/2012,8/5/2012,91
8/23/2012,8/6/2012,105
8/23/2012,8/7/2012,118
8/23/2012,8/8/2012,125
8/23/2012,8/9/2012,132
8/23/2012,8/10/2012,143
8/23/2012,8/11/2012,144
8/23/2012,8/12/2012,146
8/23/2012,8/13/2012,158
8/23/2012,8/14/2012,187
8/23/2012,8/15/2012,200
8/23/2012,8/16/2012,217
8/23/2012,8/17/2012,237
